ID,Team A,Team B,A,B,Tournament,Phase,Extra
25988,Robert S,Andy G,2,7,Milton Keynes I,,
25989,Mark V,Lee W,2,9,Milton Keynes I,,
25990,Steve E,Steve C,5,4,Milton Keynes I,,
25991,Robert S,Steve B,4,4,Milton Keynes I,,
25992,Mark V,Garry C,2,9,Milton Keynes I,,
25993,Lee W,Ian K,8,2,Milton Keynes I,,
25994,Mick C,Andy G,1,8,Milton Keynes I,,
25995,Mark V,Robert S,1,3,Milton Keynes I,,
25996,Lee W,Steve E,7,2,Milton Keynes I,,
25997,Mick C,Steve B,6,2,Milton Keynes I,,
25998,Andy G,Simon K,5,2,Milton Keynes I,,
25999,Ian K,Garry C,1,2,Milton Keynes I,,
26000,Lee W,Steve C,4,8,Milton Keynes I,,
26001,Mick C,Mark V,2,2,Milton Keynes I,,
26002,Ian K,Robert S,3,4,Milton Keynes I,,
26003,Garry C,Steve E,2,4,Milton Keynes I,,
26004,Simon K,Steve B,6,1,Milton Keynes I,,
26005,Steve C,Andy G,5,1,Milton Keynes I,,
26006,Ian K,Mick C,2,2,Milton Keynes I,,
26007,Garry C,Lee W,4,5,Milton Keynes I,,
26008,Simon K,Mark V,8,4,Milton Keynes I,,
26009,Steve E,Robert S,2,2,Milton Keynes I,,
26010,Garry C,Steve C,5,6,Milton Keynes I,,
26011,Simon K,Ian K,3,2,Milton Keynes I,,
26012,Steve B,Andy G,1,7,Milton Keynes I,,
26013,Steve E,Mick C,6,2,Milton Keynes I,,
26014,Robert S,Lee W,0,6,Milton Keynes I,,
26015,Steve C,Steve B,7,6,Milton Keynes I,,
26016,Steve E,Simon K,1,2,Milton Keynes I,,
26017,Robert S,Garry C,2,5,Milton Keynes I,,
26018,Mark V,Andy G,0,7,Milton Keynes I,,
26019,Lee W,Mick C,13,3,Milton Keynes I,,
26020,Robert S,Steve C,5,7,Milton Keynes I,,
26021,Mark V,Steve B,2,6,Milton Keynes I,,
26022,Lee W,Simon K,2,2,Milton Keynes I,,
26023,Mick C,Garry C,5,7,Milton Keynes I,,
26024,Andy G,Ian K,9,2,Milton Keynes I,,
26025,Steve C,Mark V,10,2,Milton Keynes I,,
26026,Robert S,Mick C,2,7,Milton Keynes I,,
26027,Steve E,Andy G,3,5,Milton Keynes I,,
26028,Steve B,Ian K,3,2,Milton Keynes I,,
26029,Simon K,Garry C,2,5,Milton Keynes I,,
26030,Mick C,Steve C,3,6,Milton Keynes I,,
26031,Lee W,Andy G,2,4,Milton Keynes I,,
26032,Mark V,Ian K,2,3,Milton Keynes I,,
26033,Robert S,Simon K,4,4,Milton Keynes I,,
26034,Steve E,Steve B,6,2,Milton Keynes I,,
26035,Steve C,Ian K,5,2,Milton Keynes I,,
26036,Andy G,Garry C,8,4,Milton Keynes I,,
26037,Mick C,Simon K,3,3,Milton Keynes I,,
26038,Lee W,Steve B,4,3,Milton Keynes I,,
26039,Mark V,Steve E,3,9,Milton Keynes I,,
26040,Steve C,Simon K,1,3,Milton Keynes I,,
26041,Garry C,Steve B,6,4,Milton Keynes I,,
26042,Ian K,Steve E,2,6,Milton Keynes I,,
26043,Andy G,Robert S,8,1,Milton Keynes I,,
26044,Lee W,Mark V,13,1,Milton Keynes I,,
26045,Steve C,Steve E,4,3,Milton Keynes I,,
26046,Steve B,Robert S,4,4,Milton Keynes I,,
26047,Garry C,Mark V,8,1,Milton Keynes I,,
26048,Ian K,Lee W,2,5,Milton Keynes I,,
26049,Andy G,Mick C,5,4,Milton Keynes I,,
26050,Robert S,Mark V,6,2,Milton Keynes I,,
26051,Steve E,Lee W,7,7,Milton Keynes I,,
26052,Steve B,Mick C,2,4,Milton Keynes I,,
26053,Simon K,Andy G,3,8,Milton Keynes I,,
26054,Garry C,Ian K,7,4,Milton Keynes I,,
26055,Steve C,Lee W,5,7,Milton Keynes I,,
26056,Mark V,Mick C,3,5,Milton Keynes I,,
26057,Robert S,Ian K,2,3,Milton Keynes I,,
26058,Steve E,Garry C,7,3,Milton Keynes I,,
26059,Steve B,Simon K,6,6,Milton Keynes I,,
26060,Steve C,Andy G,5,7,Milton Keynes I,,
26061,Mick C,Ian K,5,4,Milton Keynes I,,
26062,Lee W,Garry C,6,3,Milton Keynes I,,
26063,Mark V,Simon K,1,5,Milton Keynes I,,
26064,Robert S,Steve E,2,3,Milton Keynes I,,
26065,Steve C,Garry C,2,4,Milton Keynes I,,
26066,Ian K,Simon K,2,7,Milton Keynes I,,
26067,Andy G,Steve B,7,4,Milton Keynes I,,
26068,Mick C,Steve E,6,9,Milton Keynes I,,
26069,Lee W,Robert S,3,5,Milton Keynes I,,
26070,Steve C,Steve B,11,4,Milton Keynes I,,
26071,Simon K,Steve E,5,1,Milton Keynes I,,
26072,Garry C,Robert S,6,2,Milton Keynes I,,
26073,Andy G,Mark V,4,2,Milton Keynes I,,
26074,Mick C,Lee W,3,5,Milton Keynes I,,
26075,Steve C,Robert S,4,4,Milton Keynes I,,
26076,Steve B,Mark V,4,2,Milton Keynes I,,
26077,Simon K,Lee W,2,4,Milton Keynes I,,
