ID,Team A,Team B,A,B,Tournament,Phase,Extra
12195,Jon G,Steve E,7,3,London XXII,,
12196,Frederic B,Volker B,4,0,Langenfeld III,,
12197,Thorsten B,Oliver St,0,6,Langenfeld III,,
12198,Thorsten B,Frederic B,0,4,Langenfeld III,,
12199,Oliver St,Volker B,4,1,Langenfeld III,,
12200,Frederic B,Oliver St,1,7,Langenfeld III,,
12201,Volker B,Thorsten B,4,0,Langenfeld III,,
12202,Volker B,Frederic B,3,3,Langenfeld III,,
12203,Oliver St,Thorsten B,3,0,Langenfeld III,,
12204,Frederic B,Thorsten B,3,3,Langenfeld III,,
12205,Volker B,Oliver St,1,5,Langenfeld III,,
12206,Oliver St,Frederic B,5,1,Langenfeld III,,
12207,Thorsten B,Volker B,2,3,Langenfeld III,,
12208,Volker B,Frederic B,4,2,Langenfeld IV,,
12209,Oliver St,Thorsten B,4,2,Langenfeld IV,,
12210,Oliver St,Volker B,8,4,Langenfeld IV,,
12211,Thorsten B,Frederic B,2,3,Langenfeld IV,,
12212,Volker B,Thorsten B,2,3,Langenfeld IV,,
12213,Frederic B,Oliver St,2,8,Langenfeld IV,,
12214,Frederic B,Volker B,4,2,Langenfeld IV,,
12215,Thorsten B,Oliver St,0,4,Langenfeld IV,,
12216,Volker B,Oliver St,2,4,Langenfeld IV,,
12217,Frederic B,Thorsten B,4,3,Langenfeld IV,,
12218,Thorsten B,Volker B,0,3,Langenfeld IV,,
12219,Oliver St,Frederic B,6,2,Langenfeld IV,,
12220,Brian C,Steve E,1,3,Birmingham VII,,
12221,Garry C,Simon K,6,2,Birmingham VII,,
12222,Garry C,Brian C,2,0,Birmingham VII,,
12223,Simon K,Steve E,0,8,Birmingham VII,,
12224,Brian C,Simon K,0,7,Birmingham VII,,
12225,Steve E,Garry C,5,2,Birmingham VII,,
12226,Steve E,Brian C,3,1,Birmingham VII,,
12227,Simon K,Garry C,1,3,Birmingham VII,,
12228,Brian C,Garry C,0,5,Birmingham VII,,
12229,Steve E,Simon K,5,5,Birmingham VII,,
12230,Simon K,Brian C,6,1,Birmingham VII,,
12231,Garry C,Steve E,4,2,Birmingham VII,,
12232,Brian C,Steve E,0,2,Birmingham VII,,
12233,Garry C,Simon K,6,2,Birmingham VII,,
12234,Garry C,Brian C,3,2,Birmingham VII,,
12235,Simon K,Steve E,1,5,Birmingham VII,,
12236,Brian C,Simon K,3,3,Birmingham VII,,
12237,Steve E,Garry C,4,2,Birmingham VII,,
12238,Simon K,Graham S,4,3,Droitwich II,,
12239,Steve E,Garry C,7,2,Droitwich II,,
12240,Steve E,Simon K,6,4,Droitwich II,,
12241,Garry C,Graham S,2,4,Droitwich II,,
12242,Simon K,Garry C,1,4,Droitwich II,,
12243,Graham S,Steve E,3,3,Droitwich II,,
12244,Graham S,Simon K,7,6,Droitwich II,,
12245,Garry C,Steve E,3,6,Droitwich II,,
12246,Simon K,Steve E,1,9,Droitwich II,,
12247,Graham S,Garry C,1,4,Droitwich II,,
12248,Garry C,Simon K,4,3,Droitwich II,,
12249,Steve E,Graham S,8,0,Droitwich II,,
12250,Simon K,Graham S,3,1,Droitwich II,,
12251,Steve E,Garry C,3,7,Droitwich II,,
12252,Steve E,Simon K,6,3,Droitwich II,,
12253,Garry C,Graham S,5,1,Droitwich II,,
12254,Simon K,Garry C,2,2,Droitwich II,,
12255,Graham S,Steve E,3,3,Droitwich II,,
12256,Graham S,Simon K,3,4,Droitwich II,,
12257,Garry C,Steve E,4,5,Droitwich II,,
12258,Simon K,Steve E,1,5,Droitwich II,,
12259,Graham S,Garry C,3,3,Droitwich II,,
12260,Garry C,Simon K,6,2,Droitwich II,,
12261,Steve E,Graham S,8,4,Droitwich II,,
12262,Frederic B,Thomas Ni,1,1,Cologne IV,,
12263,Volker B,Malte R,2,3,Cologne IV,,
12264,Volker B,Oliver St,5,5,Cologne IV,,
12265,Malte R,Thomas Ni,5,2,Cologne IV,,
12266,Malte R,Frederic B,2,3,Cologne IV,,
12267,Thomas Ni,Oliver St,1,8,Cologne IV,,
12268,Thomas Ni,Volker B,0,4,Cologne IV,,
12269,Oliver St,Frederic B,6,0,Cologne IV,,
12270,Oliver St,Malte R,12,2,Cologne IV,,
12271,Frederic B,Volker B,8,1,Cologne IV,,
12272,Thomas Ni,Frederic B,4,4,Cologne IV,,
12273,Malte R,Volker B,2,5,Cologne IV,,
12274,Oliver St,Volker B,6,4,Cologne IV,,
12275,Thomas Ni,Malte R,1,3,Cologne IV,,
12276,Frederic B,Malte R,2,1,Cologne IV,,
12277,Oliver St,Thomas Ni,11,1,Cologne IV,,
12278,Volker B,Thomas Ni,3,1,Cologne IV,,
12279,Frederic B,Oliver St,4,4,Cologne IV,,
12280,Malte R,Oliver St,1,5,Cologne IV,,
12281,Volker B,Frederic B,5,4,Cologne IV,,
12282,Thorsten B,Frederic B,4,5,Langenfeld V,,
12283,Uli P,Jan K,3,0,Langenfeld V,,
12284,Malte R,Oliver St,0,3,Langenfeld V,,
12285,Uli P,Volker B,2,2,Langenfeld V,,
12286,Malte R,Frederic B,2,5,Langenfeld V,,
12287,Oliver St,Jan K,12,0,Langenfeld V,,
12288,Malte R,Thorsten B,1,5,Langenfeld V,,
12289,Oliver St,Volker B,10,1,Langenfeld V,,
12290,Jan K,Frederic B,0,5,Langenfeld V,,
12291,Oliver St,Uli P,5,0,Langenfeld V,,
12292,Jan K,Thorsten B,0,0,Langenfeld V,,
12293,Frederic B,Volker B,3,1,Langenfeld V,,
12294,Jan K,Malte R,1,1,Langenfeld V,,
12295,Frederic B,Uli P,2,0,Langenfeld V,,
12296,Volker B,Thorsten B,4,3,Langenfeld V,,
12297,Frederic B,Oliver St,3,4,Langenfeld V,,
12298,Volker B,Malte R,3,1,Langenfeld V,,
12299,Thorsten B,Uli P,1,1,Langenfeld V,,
12300,Volker B,Jan K,7,0,Langenfeld V,,
12301,Thorsten B,Oliver St,0,6,Langenfeld V,,
12302,Uli P,Malte R,2,4,Langenfeld V,,
12303,Frederic B,Thorsten B,3,2,Langenfeld V,,
12304,Jan K,Uli P,0,1,Langenfeld V,,
12305,Oliver St,Malte R,9,0,Langenfeld V,,
12306,Volker B,Uli P,1,3,Langenfeld V,,
12307,Frederic B,Malte R,9,2,Langenfeld V,,
12308,Jan K,Oliver St,0,6,Langenfeld V,,
12309,Thorsten B,Malte R,1,4,Langenfeld V,,
12310,Volker B,Oliver St,4,6,Langenfeld V,,
12311,Frederic B,Jan K,5,0,Langenfeld V,,
12312,Uli P,Oliver St,3,8,Langenfeld V,,
12313,Thorsten B,Jan K,3,0,Langenfeld V,,
12314,Volker B,Frederic B,4,2,Langenfeld V,,
12315,Malte R,Jan K,2,0,Langenfeld V,,
12316,Uli P,Frederic B,0,4,Langenfeld V,,
12317,Thorsten B,Volker B,1,3,Langenfeld V,,
12318,Oliver St,Frederic B,4,4,Langenfeld V,,
12319,Malte R,Volker B,2,5,Langenfeld V,,
12320,Uli P,Thorsten B,5,2,Langenfeld V,,
12321,Jan K,Volker B,1,1,Langenfeld V,,
12322,Oliver St,Thorsten B,7,0,Langenfeld V,,
12323,Malte R,Uli P,4,2,Langenfeld V,,
12324,Greg N,Simon K,2,5,Dudley VIII,,
12325,Garry C,Stephen D,3,2,Dudley VIII,,
12326,Garry C,Steve E,6,3,Dudley VIII,,
12327,Stephen D,Simon K,1,2,Dudley VIII,,
12328,Stephen D,Greg N,3,1,Dudley VIII,,
12329,Simon K,Steve E,4,2,Dudley VIII,,
12330,Simon K,Garry C,0,3,Dudley VIII,,
12331,Steve E,Greg N,4,2,Dudley VIII,,
12332,Steve E,Stephen D,4,2,Dudley VIII,,
12333,Greg N,Garry C,1,5,Dudley VIII,,
12334,Simon K,Greg N,1,2,Dudley VIII,,
12335,Stephen D,Garry C,2,4,Dudley VIII,,
12336,Steve E,Garry C,2,2,Dudley VIII,,
12337,Simon K,Stephen D,3,1,Dudley VIII,,
12338,Greg N,Stephen D,1,3,Dudley VIII,,
12339,Steve E,Simon K,5,1,Dudley VIII,,
12340,Garry C,Simon K,6,5,Dudley VIII,,
12341,Greg N,Steve E,2,0,Dudley VIII,,
12342,Stephen D,Steve E,3,3,Dudley VIII,,
12343,Garry C,Greg N,3,3,Dudley VIII,,
12344,Greg N,Simon K,1,2,Dudley VIII,,
12345,Garry C,Stephen D,1,1,Dudley VIII,,
12346,Garry C,Steve E,3,0,Dudley VIII,,
12347,Stephen D,Simon K,2,2,Dudley VIII,,
12348,Stephen D,Greg N,2,1,Dudley VIII,,
12349,Simon K,Steve E,4,3,Dudley VIII,,
12350,Simon K,Garry C,4,3,Dudley VIII,,
12351,Steve E,Greg N,4,4,Dudley VIII,,
12352,Steve E,Stephen D,0,5,Dudley VIII,,
12353,Greg N,Garry C,1,4,Dudley VIII,,
12354,Simon K,Greg N,2,1,Dudley VIII,,
12355,Stephen D,Garry C,3,8,Dudley VIII,,
12356,Steve E,Garry C,3,5,Dudley VIII,,
12357,Simon K,Stephen D,1,2,Dudley VIII,,
12358,Greg N,Stephen D,1,2,Dudley VIII,,
12359,Steve E,Simon K,6,0,Dudley VIII,,
12360,Garry C,Simon K,1,5,Dudley VIII,,
12361,Greg N,Steve E,2,4,Dudley VIII,,
12362,Stephen D,Steve E,2,1,Dudley VIII,,
12363,Garry C,Greg N,5,2,Dudley VIII,,
12364,George Ka,Alkis P,3,7,Athens LVIII,,
12365,Antonis T,Kostas Ka,4,3,Athens LVIII,,
12366,Kostas O,Ektoras K,2,10,Athens LVIII,,
12367,Stelios T,Filippos M,3,5,Athens LVIII,,
12368,Vasilis K,Panayotis P,3,9,Athens LVIII,,
12369,Antonis T,George Ka,0,3,Athens LVIII,,
12370,Kostas O,Alkis P,2,4,Athens LVIII,,
12371,Stelios T,Kostas Ka,3,1,Athens LVIII,,
12372,Vasilis K,Ektoras K,2,5,Athens LVIII,,
12373,Panayotis P,Filippos M,8,2,Athens LVIII,,
12374,George Ka,Kostas O,1,0,Athens LVIII,,
12375,Stelios T,Antonis T,4,2,Athens LVIII,,
12376,Vasilis K,Alkis P,1,5,Athens LVIII,,
12377,Panayotis P,Kostas Ka,10,3,Athens LVIII,,
12378,Filippos M,Ektoras K,6,2,Athens LVIII,,
12379,Stelios T,George Ka,2,4,Athens LVIII,,
12380,Vasilis K,Kostas O,5,1,Athens LVIII,,
12381,Panayotis P,Antonis T,7,0,Athens LVIII,,
12382,Filippos M,Alkis P,2,6,Athens LVIII,,
12383,Ektoras K,Kostas Ka,8,0,Athens LVIII,,
12384,George Ka,Vasilis K,5,6,Athens LVIII,,
12385,Panayotis P,Stelios T,7,1,Athens LVIII,,
12386,Filippos M,Kostas O,3,4,Athens LVIII,,
12387,Ektoras K,Antonis T,3,2,Athens LVIII,,
12388,Kostas Ka,Alkis P,1,5,Athens LVIII,,
12389,Panayotis P,George Ka,5,2,Athens LVIII,,
12390,Filippos M,Vasilis K,0,2,Athens LVIII,,
12391,Ektoras K,Stelios T,7,4,Athens LVIII,,
12392,Kostas Ka,Kostas O,4,5,Athens LVIII,,
12393,Alkis P,Antonis T,8,1,Athens LVIII,,
12394,George Ka,Filippos M,3,6,Athens LVIII,,
12395,Ektoras K,Panayotis P,6,6,Athens LVIII,,
12396,Kostas Ka,Vasilis K,1,3,Athens LVIII,,
12397,Alkis P,Stelios T,5,4,Athens LVIII,,
12398,Antonis T,Kostas O,4,3,Athens LVIII,,
12399,Ektoras K,George Ka,4,3,Athens LVIII,,
12400,Kostas Ka,Filippos M,2,4,Athens LVIII,,
12401,Alkis P,Panayotis P,5,4,Athens LVIII,,
12402,Antonis T,Vasilis K,2,7,Athens LVIII,,
12403,Kostas O,Stelios T,2,4,Athens LVIII,,
12404,George Ka,Kostas Ka,4,1,Athens LVIII,,
12405,Alkis P,Ektoras K,2,2,Athens LVIII,,
12406,Antonis T,Filippos M,1,8,Athens LVIII,,
12407,Kostas O,Panayotis P,2,6,Athens LVIII,,
12408,Stelios T,Vasilis K,3,3,Athens LVIII,,
12409,Alkis P,George Ka,10,0,Athens LVIII,,
12410,Kostas Ka,Antonis T,4,3,Athens LVIII,,
12411,Ektoras K,Kostas O,6,2,Athens LVIII,,
12412,Filippos M,Stelios T,5,4,Athens LVIII,,
12413,Panayotis P,Vasilis K,7,3,Athens LVIII,,
12414,George Ka,Antonis T,2,2,Athens LVIII,,
12415,Alkis P,Kostas O,5,0,Athens LVIII,,
12416,Kostas Ka,Stelios T,4,5,Athens LVIII,,
12417,Ektoras K,Vasilis K,5,3,Athens LVIII,,
12418,Filippos M,Panayotis P,4,5,Athens LVIII,,
12419,Kostas O,George Ka,1,3,Athens LVIII,,
12420,Antonis T,Stelios T,3,3,Athens LVIII,,
12421,Alkis P,Vasilis K,8,3,Athens LVIII,,
12422,Kostas Ka,Panayotis P,5,10,Athens LVIII,,
12423,Ektoras K,Filippos M,1,2,Athens LVIII,,
12424,George Ka,Stelios T,5,2,Athens LVIII,,
12425,Kostas O,Vasilis K,4,5,Athens LVIII,,
12426,Antonis T,Panayotis P,2,10,Athens LVIII,,
12427,Alkis P,Filippos M,4,1,Athens LVIII,,
12428,Kostas Ka,Ektoras K,4,4,Athens LVIII,,
12429,Vasilis K,George Ka,5,3,Athens LVIII,,
12430,Stelios T,Panayotis P,5,0,Athens LVIII,,
12431,Kostas O,Filippos M,4,3,Athens LVIII,,
12432,Antonis T,Ektoras K,3,8,Athens LVIII,,
12433,Alkis P,Kostas Ka,7,3,Athens LVIII,,
12434,George Ka,Panayotis P,2,4,Athens LVIII,,
12435,Vasilis K,Filippos M,2,4,Athens LVIII,,
12436,Stelios T,Ektoras K,3,3,Athens LVIII,,
12437,Kostas O,Kostas Ka,3,2,Athens LVIII,,
12438,Antonis T,Alkis P,0,11,Athens LVIII,,
12439,Filippos M,George Ka,4,5,Athens LVIII,,
12440,Panayotis P,Ektoras K,9,0,Athens LVIII,,
12441,Vasilis K,Kostas Ka,3,1,Athens LVIII,,
12442,Stelios T,Alkis P,2,9,Athens LVIII,,
12443,Kostas O,Antonis T,5,1,Athens LVIII,,
12444,George Ka,Ektoras K,2,4,Athens LVIII,,
12445,Filippos M,Kostas Ka,6,3,Athens LVIII,,
12446,Panayotis P,Alkis P,0,7,Athens LVIII,,
12447,Vasilis K,Antonis T,6,2,Athens LVIII,,
12448,Stelios T,Kostas O,5,1,Athens LVIII,,
12449,Kostas Ka,George Ka,1,1,Athens LVIII,,
12450,Ektoras K,Alkis P,3,2,Athens LVIII,,
12451,Filippos M,Antonis T,4,0,Athens LVIII,,
12452,Panayotis P,Kostas O,6,2,Athens LVIII,,
12453,Vasilis K,Stelios T,5,2,Athens LVIII,,
12454,Mandhir S,Mark B,3,3,Hertford VII,,
12455,Wayne L,Darren G,5,4,Hertford VII,,
12456,Wayne L,Mandhir S,3,2,Hertford VII,,
12457,Darren G,Mark B,2,2,Hertford VII,,
12458,Mandhir S,Darren G,4,1,Hertford VII,,
12459,Mark B,Wayne L,4,5,Hertford VII,,
12460,Mark B,Mandhir S,4,4,Hertford VII,,
12461,Darren G,Wayne L,1,6,Hertford VII,,
12462,Mandhir S,Wayne L,2,2,Hertford VII,,
12463,Mark B,Darren G,7,4,Hertford VII,,
12464,Darren G,Mandhir S,2,5,Hertford VII,,
12465,Wayne L,Mark B,6,6,Hertford VII,,
12466,Mandhir S,Mark B,5,4,Hertford VII,,
12467,Wayne L,Darren G,4,3,Hertford VII,,
12468,Wayne L,Mandhir S,2,2,Hertford VII,,
12469,Darren G,Mark B,0,2,Hertford VII,,
12470,Mandhir S,Darren G,2,2,Hertford VII,,
12471,Mark B,Wayne L,5,2,Hertford VII,,
12472,Giannis N,Stelios T,1,10,Athens LIX,,
12473,Antonis A,Christos K,5,7,Athens LIX,,
12474,Antonis A,Giannis N,6,0,Athens LIX,,
12475,Christos K,Stelios T,1,4,Athens LIX,,
12476,Giannis N,Christos K,2,6,Athens LIX,,
12477,Stelios T,Antonis A,8,0,Athens LIX,,
12478,Stelios T,Giannis N,7,1,Athens LIX,,
12479,Christos K,Antonis A,2,3,Athens LIX,,
12480,Giannis N,Antonis A,0,4,Athens LIX,,
12481,Stelios T,Christos K,5,1,Athens LIX,,
12482,Christos K,Giannis N,2,2,Athens LIX,,
12483,Antonis A,Stelios T,3,9,Athens LIX,,
12484,Giannis N,Stelios T,0,5,Athens LIX,,
12485,Antonis A,Christos K,1,6,Athens LIX,,
12486,Antonis A,Giannis N,0,0,Athens LIX,,
12487,Christos K,Stelios T,0,4,Athens LIX,,
12488,Giannis N,Christos K,0,4,Athens LIX,,
12489,Stelios T,Antonis A,10,3,Athens LIX,,
12490,Stelios T,Giannis N,7,1,Athens LIX,,
12491,Christos K,Antonis A,5,3,Athens LIX,,
12492,Giannis N,Antonis A,1,1,Athens LIX,,
12493,Stelios T,Christos K,6,1,Athens LIX,,
12494,Christos K,Giannis N,6,0,Athens LIX,,
12495,Antonis A,Stelios T,2,7,Athens LIX,,
12496,Frederic B,Volker B,4,2,Duesseldorf I,,
12497,Thomas Ni,Oliver St,2,6,Duesseldorf I,,
12498,Thomas Ni,Frederic B,0,2,Duesseldorf I,,
12499,Oliver St,Volker B,7,3,Duesseldorf I,,
12500,Frederic B,Oliver St,2,7,Duesseldorf I,,
12501,Volker B,Thomas Ni,6,1,Duesseldorf I,,
12502,Volker B,Frederic B,2,2,Duesseldorf I,,
12503,Oliver St,Thomas Ni,7,1,Duesseldorf I,,
12504,Frederic B,Thomas Ni,6,0,Duesseldorf I,,
12505,Volker B,Oliver St,1,8,Duesseldorf I,,
12506,Oliver St,Frederic B,6,4,Duesseldorf I,,
12507,Thomas Ni,Volker B,1,4,Duesseldorf I,,
12508,Frederic B,Volker B,4,2,Duesseldorf I,,
12509,Thomas Ni,Oliver St,4,7,Duesseldorf I,,
12510,Thomas Ni,Frederic B,0,4,Duesseldorf I,,
12511,Oliver St,Volker B,9,3,Duesseldorf I,,
12512,Frederic B,Oliver St,4,10,Duesseldorf I,,
12513,Volker B,Thomas Ni,2,2,Duesseldorf I,,
12514,Mark W,Steve E,1,5,Dudley IX,,
12515,Greg N,Garry C,6,2,Dudley IX,,
12516,Greg N,Mark W,2,1,Dudley IX,,
12517,Garry C,Steve E,2,4,Dudley IX,,
12518,Mark W,Garry C,1,2,Dudley IX,,
12519,Steve E,Greg N,5,1,Dudley IX,,
12520,Steve E,Mark W,4,2,Dudley IX,,
12521,Garry C,Greg N,3,1,Dudley IX,,
12522,Mark W,Greg N,3,3,Dudley IX,,
12523,Steve E,Garry C,4,6,Dudley IX,,
12524,Garry C,Mark W,3,3,Dudley IX,,
12525,Greg N,Steve E,2,3,Dudley IX,,
12526,Steve E,Mark W,3,3,Dudley X,,
12527,Garry C,Greg N,1,4,Dudley X,,
12528,Garry C,Steve E,1,3,Dudley X,,
12529,Greg N,Mark W,2,1,Dudley X,,
12530,Steve E,Greg N,1,2,Dudley X,,
12531,Mark W,Garry C,1,6,Dudley X,,
12532,Mark W,Steve E,2,7,Dudley X,,
12533,Greg N,Garry C,7,1,Dudley X,,
12534,Steve E,Garry C,2,3,Dudley X,,
12535,Mark W,Greg N,5,0,Dudley X,,
12536,Greg N,Steve E,2,4,Dudley X,,
12537,Garry C,Mark W,5,5,Dudley X,,
12538,Darren G,Nick H,0,1,Birmingham VIII,,
12539,Steve E,Mandhir S,5,2,Birmingham VIII,,
12540,Garry C,Steve C,2,6,Birmingham VIII,,
12541,Jon G,Wayne L,8,2,Birmingham VIII,,
12542,James B,Robert S,3,5,Birmingham VIII,,
12543,Greg N,Mark W,1,3,Birmingham VIII,,
12544,Andy E,Andy H,3,3,Birmingham VIII,,
12545,Steve E,John W,8,1,Birmingham VIII,,
12546,Garry C,Nick H,7,0,Birmingham VIII,,
12547,Jon G,Mandhir S,8,2,Birmingham VIII,,
12548,James B,Steve C,3,4,Birmingham VIII,,
12549,Greg N,Wayne L,5,0,Birmingham VIII,,
12550,Andy E,Robert S,1,8,Birmingham VIII,,
12551,Andy H,Mark W,1,2,Birmingham VIII,,
12552,Garry C,Darren G,7,2,Birmingham VIII,,
12553,Jon G,John W,6,3,Birmingham VIII,,
12554,James B,Nick H,4,1,Birmingham VIII,,
12555,Greg N,Mandhir S,1,4,Birmingham VIII,,
12556,Andy E,Steve C,1,6,Birmingham VIII,,
12557,Andy H,Wayne L,1,2,Birmingham VIII,,
12558,Mark W,Robert S,1,6,Birmingham VIII,,
12559,Jon G,Steve E,6,5,Birmingham VIII,,
12560,James B,Darren G,5,1,Birmingham VIII,,
12561,Greg N,John W,2,2,Birmingham VIII,,
12562,Andy E,Nick H,5,1,Birmingham VIII,,
12563,Andy H,Mandhir S,1,5,Birmingham VIII,,
12564,Mark W,Steve C,1,5,Birmingham VIII,,
12565,Robert S,Wayne L,7,2,Birmingham VIII,,
12566,James B,Garry C,2,1,Birmingham VIII,,
12567,Greg N,Steve E,1,3,Birmingham VIII,,
12568,Andy E,Darren G,2,3,Birmingham VIII,,
12569,Andy H,John W,1,2,Birmingham VIII,,
12570,Mark W,Nick H,5,2,Birmingham VIII,,
12571,Robert S,Mandhir S,5,2,Birmingham VIII,,
12572,Wayne L,Steve C,5,5,Birmingham VIII,,
12573,Greg N,Jon G,0,4,Birmingham VIII,,
12574,Andy E,Garry C,3,6,Birmingham VIII,,
12575,Andy H,Steve E,1,2,Birmingham VIII,,
12576,Mark W,Darren G,2,1,Birmingham VIII,,
12577,Robert S,John W,7,1,Birmingham VIII,,
12578,Wayne L,Nick H,3,0,Birmingham VIII,,
12579,Steve C,Mandhir S,2,2,Birmingham VIII,,
12580,Andy E,James B,2,0,Birmingham VIII,,
12581,Andy H,Jon G,5,8,Birmingham VIII,,
12582,Mark W,Garry C,3,3,Birmingham VIII,,
12583,Robert S,Steve E,2,4,Birmingham VIII,,
12584,Wayne L,Darren G,4,2,Birmingham VIII,,
12585,Steve C,John W,5,0,Birmingham VIII,,
12586,Mandhir S,Nick H,7,3,Birmingham VIII,,
12587,Andy H,Greg N,3,1,Birmingham VIII,,
12588,Mark W,James B,5,5,Birmingham VIII,,
12589,Robert S,Jon G,1,5,Birmingham VIII,,
12590,Wayne L,Garry C,3,1,Birmingham VIII,,
12591,Steve C,Steve E,3,3,Birmingham VIII,,
12592,Mandhir S,Darren G,2,1,Birmingham VIII,,
12593,Nick H,John W,1,2,Birmingham VIII,,
12594,Mark W,Andy E,2,2,Birmingham VIII,,
12595,Robert S,Greg N,5,1,Birmingham VIII,,
12596,Wayne L,James B,4,3,Birmingham VIII,,
12597,Steve C,Jon G,5,2,Birmingham VIII,,
12598,Mandhir S,Garry C,3,2,Birmingham VIII,,
12599,Nick H,Steve E,2,5,Birmingham VIII,,
12600,John W,Darren G,2,2,Birmingham VIII,,
12601,Robert S,Andy H,5,2,Birmingham VIII,,
12602,Wayne L,Andy E,3,1,Birmingham VIII,,
12603,Steve C,Greg N,4,2,Birmingham VIII,,
12604,Mandhir S,James B,2,3,Birmingham VIII,,
12605,Nick H,Jon G,2,16,Birmingham VIII,,
12606,John W,Garry C,2,3,Birmingham VIII,,
12607,Darren G,Steve E,2,8,Birmingham VIII,,
12608,Wayne L,Mark W,3,2,Birmingham VIII,,
12609,Steve C,Andy H,10,4,Birmingham VIII,,
12610,Mandhir S,Andy E,3,4,Birmingham VIII,,
12611,Nick H,Greg N,1,5,Birmingham VIII,,
12612,John W,James B,2,3,Birmingham VIII,,
12613,Darren G,Jon G,2,7,Birmingham VIII,,
12614,Steve E,Garry C,6,3,Birmingham VIII,,
12615,Steve C,Robert S,3,3,Birmingham VIII,,
12616,Mandhir S,Mark W,5,0,Birmingham VIII,,
12617,Nick H,Andy H,1,6,Birmingham VIII,,
12618,John W,Andy E,2,1,Birmingham VIII,,
12619,Darren G,Greg N,1,2,Birmingham VIII,,
12620,Steve E,James B,3,4,Birmingham VIII,,
12621,Garry C,Jon G,3,3,Birmingham VIII,,
12622,Mandhir S,Wayne L,2,2,Birmingham VIII,,
12623,Nick H,Robert S,3,5,Birmingham VIII,,
12624,John W,Mark W,2,4,Birmingham VIII,,
12625,Darren G,Andy H,3,3,Birmingham VIII,,
12626,Steve E,Andy E,3,1,Birmingham VIII,,
12627,Garry C,Greg N,3,3,Birmingham VIII,,
12628,Jon G,James B,5,7,Birmingham VIII,,
12629,Nick H,Steve C,0,6,Birmingham VIII,,
12630,John W,Wayne L,2,2,Birmingham VIII,,
12631,Darren G,Robert S,2,5,Birmingham VIII,,
12632,Steve E,Mark W,6,4,Birmingham VIII,,
12633,Garry C,Andy H,3,1,Birmingham VIII,,
12634,Jon G,Andy E,4,3,Birmingham VIII,,
12635,James B,Greg N,1,1,Birmingham VIII,,
12636,John W,Mandhir S,1,5,Birmingham VIII,,
12637,Darren G,Steve C,0,3,Birmingham VIII,,
12638,Steve E,Wayne L,4,4,Birmingham VIII,,
12639,Garry C,Robert S,2,4,Birmingham VIII,,
12640,Jon G,Mark W,4,0,Birmingham VIII,,
12641,James B,Andy H,6,1,Birmingham VIII,,
12642,Greg N,Andy E,2,3,Birmingham VIII,,
12643,Andy H,Wayne L,0,3,Birmingham VIII Gold Cup,Round 1,
12644,James B,Steve E,3,7,Birmingham VIII Gold Cup,Round 1,
12645,Steve C,Andy E,2,4,Birmingham VIII Gold Cup,Round 1,
12646,Robert S,Jon G,4,7,Birmingham VIII Gold Cup,Round 1,
12647,Wayne L,Steve E,6,5,Birmingham VIII Gold Cup,Semi Final,
12648,Andy E,Jon G,1,5,Birmingham VIII Gold Cup,Semi Final,
12649,Wayne L,Jon G,2,3,Birmingham VIII Gold Cup,Final,
12650,Greg N,Mark W,1,0,Birmingham VIII Silver Cup,Round 1,
12651,Mandhir S,Darren G,3,0,Birmingham VIII Silver Cup,Round 1,
12652,Nick H,John W,1,3,Birmingham VIII Silver Cup,Round 1,
12653,Greg N,Mandhir S,3,4,Birmingham VIII Silver Cup,Semi Final,
12654,John W,Garry C,2,4,Birmingham VIII Silver Cup,Semi Final,
12655,Mandhir S,Garry C,1,4,Birmingham VIII Silver Cup,Final,
12656,Alessandro V,John H,5,7,Milan XXIII,,
12657,Alessandro Gu,Robert S,1,7,Milan XXIII,,
12658,Luigi F,Simone C,13,0,Milan XXIII,,
12659,Marco D,Luca F,5,5,Milan XXIII,,
12660,Maurizio L,Flavio Z,6,2,Milan XXIII,,
12661,Sandro T,Angelo S,7,0,Milan XXIII,,
12662,Gianni T,Thorsten B,8,3,Milan XXIII,,
12663,Panayotis P,Volker B,10,3,Milan XXIII,,
12664,Alessandro Gu,Alessandro C,1,0,Milan XXIII,,
12665,Luigi F,John H,4,4,Milan XXIII,,
12666,Marco D,Robert S,4,3,Milan XXIII,,
12667,Maurizio L,Simone C,6,1,Milan XXIII,,
12668,Sandro T,Luca F,3,4,Milan XXIII,,
12669,Gianni T,Flavio Z,7,3,Milan XXIII,,
12670,Panayotis P,Angelo S,10,3,Milan XXIII,,
12671,Volker B,Thorsten B,5,0,Milan XXIII,,
12672,Luigi F,Alessandro V,10,8,Milan XXIII,,
12673,Marco D,Alessandro C,7,0,Milan XXIII,,
12674,Maurizio L,John H,1,7,Milan XXIII,,
12675,Sandro T,Robert S,6,4,Milan XXIII,,
12676,Gianni T,Simone C,8,1,Milan XXIII,,
12677,Panayotis P,Luca F,6,5,Milan XXIII,,
12678,Volker B,Flavio Z,2,1,Milan XXIII,,
12679,Thorsten B,Angelo S,1,2,Milan XXIII,,
12680,Marco D,Alessandro Gu,9,1,Milan XXIII,,
12681,Maurizio L,Alessandro V,3,5,Milan XXIII,,
12682,Sandro T,Alessandro C,6,0,Milan XXIII,,
12683,Gianni T,John H,10,6,Milan XXIII,,
12684,Panayotis P,Robert S,4,5,Milan XXIII,,
12685,Volker B,Simone C,3,1,Milan XXIII,,
